"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","60,900.0","60,000.0","61,400.0","59,500.0","1.02M","2.87%"
"05/30/2024","59,200.0","59,000.0","60,100.0","58,100.0","1.81M","-1.33%"
"05/29/2024","60,000.0","62,100.0","63,400.0","60,000.0","2.38M","-3.38%"
"05/28/2024","62,100.0","59,800.0","62,400.0","59,200.0","1.48M","5.25%"
"05/27/2024","59,000.0","60,500.0","61,100.0","57,000.0","2.27M","-1.17%"
"05/24/2024","59,700.0","63,000.0","63,600.0","59,500.0","2.64M","-6.13%"
"05/23/2024","63,600.0","61,200.0","64,400.0","61,100.0","3.07M","3.92%"
"05/22/2024","61,200.0","62,100.0","63,500.0","60,200.0","1.58M","-0.49%"
"05/21/2024","61,500.0","59,900.0","62,800.0","58,700.0","1.96M","4.24%"
"05/20/2024","59,000.0","62,000.0","62,000.0","58,600.0","3.96M","-3.75%"
"05/17/2024","61,300.0","61,000.0","62,000.0","60,400.0","2.85M","1.16%"
"05/16/2024","60,600.0","63,400.0","63,700.0","60,400.0","3.48M","-3.81%"
"05/15/2024","63,000.0","64,900.0","65,900.0","63,000.0","1.96M","0.96%"
"05/14/2024","62,400.0","58,400.0","62,400.0","58,400.0","1.47M","6.85%"
"05/13/2024","58,400.0","60,000.0","60,000.0","56,800.0","1.46M","-0.85%"
"05/10/2024","58,900.0","59,000.0","59,200.0","57,100.0","3.00M","6.32%"
"05/09/2024","55,400.0","55,400.0","55,400.0","54,200.0","1.35M","6.95%"
"05/08/2024","51,800.0","48,450.0","51,800.0","47,550.0","1.00M","6.91%"
"05/07/2024","48,450.0","47,500.0","49,450.0","47,000.0","951.00K","3.42%"
"05/06/2024","46,850.0","45,400.0","47,000.0","44,500.0","1.30M","3.88%"
"05/03/2024","45,100.0","46,200.0","46,600.0","45,100.0","954.30K","-2.28%"
"05/02/2024","46,150.0","45,400.0","46,600.0","44,400.0","1.14M","3.36%"
"04/26/2024","44,650.0","44,300.0","45,100.0","43,950.0","502.90K","0.11%"
"04/25/2024","44,600.0","45,300.0","47,000.0","44,600.0","1.28M","-1.55%"
"04/24/2024","45,300.0","43,600.0","45,300.0","43,600.0","743.90K","5.84%"
"04/23/2024","42,800.0","42,400.0","45,000.0","39,400.0","2.05M","1.06%"
"04/22/2024","42,350.0","42,400.0","42,750.0","41,750.0","262.50K","1.93%"
"04/19/2024","41,550.0","43,250.0","43,300.0","41,100.0","1.72M","-5.89%"
"04/17/2024","44,150.0","45,800.0","46,300.0","43,900.0","683.50K","-3.71%"
"04/16/2024","45,850.0","45,500.0","45,850.0","42,800.0","865.40K","0.00%"
"04/15/2024","45,850.0","49,500.0","49,500.0","45,850.0","1.20M","-7.00%"
"04/12/2024","49,300.0","48,500.0","49,300.0","47,200.0","600.10K","2.49%"
"04/11/2024","48,100.0","48,500.0","48,500.0","47,550.0","334.10K","-1.64%"
"04/10/2024","48,900.0","48,500.0","49,000.0","47,400.0","720.40K","1.88%"
"04/09/2024","48,000.0","45,050.0","48,200.0","45,050.0","580.80K","6.55%"
"04/08/2024","45,050.0","46,500.0","49,500.0","44,000.0","1.10M","-4.76%"
"04/05/2024","47,300.0","45,500.0","49,000.0","45,500.0","851.90K","2.94%"
"04/04/2024","45,950.0","45,000.0","45,950.0","44,850.0","1.96M","6.98%"
"04/03/2024","42,950.0","40,100.0","42,950.0","40,000.0","987.20K","6.97%"
"04/02/2024","40,150.0","40,200.0","40,250.0","39,800.0","215.90K","-0.12%"
