Date,Price
2018-03-05,17110.5
2018-03-06,16714.1
2018-03-07,16681.1
2018-03-08,16482.9
2018-03-09,16383.8
2018-03-10,16674.0
2018-03-11,16587.0
2018-03-12,16053.5
2018-03-13,16714.1
2018-03-14,17242.6
2018-03-15,16582.0
2018-03-16,17044.5
2018-03-17,16727.0
2018-03-18,16862.0
2018-03-19,17672.1
2018-03-20,18894.2
2018-03-21,19092.4
2018-03-22,18828.2
2018-03-23,18431.8
2018-03-24,18583.0
2018-03-25,18765.0
2018-03-26,17903.3
2018-03-27,18497.9
2018-03-28,18960.3
2018-03-29,19819.1
2018-03-30,20876.1
2018-03-31,19211.0
2018-04-01,19472.0
2018-04-02,20843.1
2018-04-03,20479.8
2018-04-04,20744.0
2018-04-05,20380.7
2018-04-06,20678.0
2018-04-07,20625.0
2018-04-08,20581.0
2018-04-09,20347.6
2018-04-10,18927.3
2018-04-11,18134.5
2018-04-12,18365.7
2018-04-13,18365.7
2018-04-14,18828.0
2018-04-15,18524.0
2018-04-16,19488.8
2018-04-17,19455.8
2018-04-18,18365.7
2018-04-19,18497.9
2018-04-20,18299.7
2018-04-21,18821.0
2018-04-22,18688.0
2018-04-23,18431.8
2018-04-24,18365.7
2018-04-25,18521.0
2018-04-26,18167.5
2018-04-27,18365.7
2018-04-28,18370.0
2018-04-29,18357.0
2018-04-30,18356.0
2018-05-01,18323.0
2018-05-02,17110.5
2018-05-03,15921.4
2018-05-04,15855.3
2018-05-05,17113.0
2018-05-06,16864.0
2018-05-07,16317.7
2018-05-08,16185.6
2018-05-09,16416.8
2018-05-10,16515.9
2018-05-11,16317.7
2018-05-12,16350.0
2018-05-13,16357.0
2018-05-14,16482.9
2018-05-15,16615.0
2018-05-16,16813.2
2018-05-17,16449.9
2018-05-18,16383.8
2018-05-19,16548.0
2018-05-20,16561.0
2018-05-21,16185.6
2018-05-22,15855.3
2018-05-23,15194.7
2018-05-24,15194.7
2018-05-25,14137.6
2018-05-26,15313.0
2018-05-27,15139.0
2018-05-28,13179.7
2018-05-29,14071.6
2018-05-30,13873.4
2018-05-31,13807.3
2018-06-01,13807.3
2018-06-02,13747.0
2018-06-03,13861.0
