"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","27,800.0","28,000.0","28,200.0","27,500.0","983.10K","-0.36%"
"05/30/2024","27,900.0","27,200.0","27,900.0","27,200.0","1.32M","1.45%"
"05/29/2024","27,500.0","28,300.0","28,300.0","27,500.0","1.31M","-1.79%"
"05/28/2024","28,000.0","27,850.0","28,500.0","27,400.0","1.35M","1.45%"
"05/27/2024","27,600.0","27,450.0","27,850.0","27,200.0","1.21M","0.55%"
"05/24/2024","27,450.0","28,600.0","28,750.0","26,800.0","2.52M","-4.02%"
"05/23/2024","28,600.0","27,350.0","28,950.0","27,300.0","3.08M","4.76%"
"05/22/2024","27,300.0","27,600.0","27,700.0","26,750.0","2.30M","-0.91%"
"05/21/2024","27,550.0","27,100.0","28,150.0","26,900.0","3.29M","1.66%"
"05/20/2024","27,100.0","27,200.0","27,650.0","26,800.0","1.46M","1.12%"
"05/17/2024","26,800.0","26,800.0","27,600.0","26,400.0","1.85M","0.00%"
"05/16/2024","26,800.0","27,500.0","27,500.0","26,750.0","2.59M","-1.11%"
"05/15/2024","27,100.0","27,500.0","27,700.0","26,900.0","2.86M","-0.37%"
"05/14/2024","27,200.0","25,450.0","27,200.0","25,450.0","3.15M","5.84%"
"05/13/2024","25,700.0","26,100.0","26,400.0","25,300.0","1.76M","1.38%"
"05/10/2024","25,350.0","23,950.0","25,350.0","23,900.0","4.20M","6.96%"
"05/09/2024","23,700.0","24,500.0","24,500.0","23,500.0","1.24M","-1.25%"
"05/08/2024","24,000.0","23,100.0","24,250.0","23,050.0","2.28M","4.12%"
"05/07/2024","23,050.0","22,100.0","23,400.0","22,100.0","1.83M","4.77%"
"05/06/2024","22,000.0","21,700.0","22,000.0","21,650.0","584.90K","1.85%"
"05/03/2024","21,600.0","22,300.0","22,300.0","21,600.0","571.70K","-0.92%"
"05/02/2024","21,800.0","21,650.0","22,550.0","21,650.0","612.30K","-0.68%"
"04/26/2024","21,950.0","21,300.0","22,000.0","21,300.0","517.90K","2.57%"
"04/25/2024","21,400.0","21,600.0","22,500.0","21,350.0","549.70K","0.00%"
"04/24/2024","21,400.0","20,500.0","21,400.0","20,400.0","593.80K","7.00%"
"04/23/2024","20,000.0","21,600.0","21,600.0","20,000.0","495.20K","-5.66%"
"04/22/2024","21,200.0","21,650.0","21,650.0","21,050.0","211.70K","0.95%"
"04/19/2024","21,000.0","21,200.0","21,400.0","20,400.0","778.00K","-0.94%"
"04/17/2024","21,200.0","21,600.0","21,600.0","21,100.0","508.60K","0.95%"
"04/16/2024","21,000.0","21,300.0","21,450.0","20,500.0","1.02M","-1.87%"
"04/15/2024","21,400.0","22,800.0","23,400.0","21,400.0","1.27M","-6.14%"
