Date,Price
2018-03-05,11022.0
2018-03-06,11267.9
2018-03-07,11145.0
2018-03-08,11063.0
2018-03-09,11063.0
2018-03-10,11112.0
2018-03-11,11130.0
2018-03-12,10981.1
2018-03-13,10858.1
2018-03-14,10817.2
2018-03-15,10940.1
2018-03-16,10940.1
2018-03-17,10907.0
2018-03-18,10892.0
2018-03-19,10817.2
2018-03-20,10817.2
2018-03-21,10817.2
2018-03-22,10899.1
2018-03-23,10735.2
2018-03-24,10817.0
2018-03-25,10817.0
2018-03-26,10653.3
2018-03-27,10571.3
2018-03-28,10489.4
2018-03-29,10489.4
2018-03-30,11022.0
2018-03-31,10645.0
2018-04-01,10643.0
2018-04-02,10940.1
2018-04-03,10489.4
2018-04-04,10325.5
2018-04-05,10571.3
2018-04-06,10530.3
2018-04-07,10571.0
2018-04-08,10497.0
2018-04-09,10448.4
2018-04-10,10366.4
2018-04-11,10038.7
2018-04-12,9506.0
2018-04-13,9833.8
2018-04-14,10038.0
2018-04-15,9956.0
2018-04-16,9833.8
2018-04-17,9628.9
2018-04-18,9669.9
2018-04-19,9506.0
2018-04-20,9506.0
2018-04-21,9628.0
2018-04-22,9587.0
2018-04-23,9506.0
2018-04-24,9342.1
2018-04-25,9513.0
2018-04-26,8727.5
2018-04-27,8727.5
2018-04-28,9163.0
2018-04-29,9094.0
2018-04-30,9045.0
2018-05-01,8951.0
2018-05-02,8686.5
2018-05-03,8563.6
2018-05-04,8039.1
2018-05-05,8657.0
2018-05-06,8579.0
2018-05-07,8481.6
2018-05-08,8440.7
2018-05-09,8276.8
2018-05-10,8194.8
2018-05-11,8194.8
2018-05-12,8317.0
2018-05-13,8284.0
2018-05-14,8194.8
2018-05-15,8186.6
2018-05-16,8522.6
2018-05-17,8809.4
2018-05-18,8891.4
2018-05-19,8520.0
2018-05-20,8586.0
2018-05-21,8686.5
2018-05-22,8440.7
2018-05-23,8235.8
2018-05-24,8276.8
2018-05-25,8194.8
2018-05-26,8366.0
2018-05-27,8302.0
2018-05-28,8104.7
2018-05-29,8112.9
2018-05-30,8112.9
2018-05-31,8194.8
2018-06-01,8686.5
2018-06-02,8242.0
2018-06-03,8269.0
2018-06-04,8604.6
2018-06-05,8686.5
2018-06-06,8440.7
2018-06-07,8481.6
2018-06-08,8686.5
2018-06-09,8579.0
2018-06-10,8574.0
2018-06-11,9260.1
2018-06-12,9260.1
2018-06-13,9301.1
2018-06-14,9587.9
2018-06-15,9587.9
2018-06-16,9399.0
2018-06-17,9427.0
2018-06-18,9055.3
2018-06-19,8440.7
2018-06-20,8768.5
2018-06-21,8604.6
2018-06-22,8276.8
2018-06-23,8629.0
2018-06-24,8543.0
2018-06-25,8276.8
2018-06-26,8440.7
2018-06-27,8522.6
2018-06-28,8194.8
2018-06-29,8194.8
2018-06-30,8325.0
2018-07-01,8335.0
2018-07-02,8112.9
2018-07-03,7719.5
2018-07-04,7547.4
2018-07-05,7744.1
2018-07-06,7457.3
2018-07-07,7716.0
2018-07-08,7636.0
2018-07-09,7539.2
2018-07-10,7703.1
2018-07-11,7531.0
2018-07-12,7531.0
2018-07-13,7539.2
2018-07-14,7568.0
2018-07-15,7574.0
2018-07-16,7375.3
2018-07-17,7416.3
2018-07-18,7416.3
2018-07-19,7457.3
2018-07-20,7350.8
2018-07-21,7403.0
2018-07-22,7408.0
2018-07-23,7367.1
2018-07-24,7350.8
2018-07-25,7309.8
2018-07-26,7309.8
2018-07-27,7539.2
2018-07-28,7375.0
2018-07-29,7376.0
2018-07-30,7293.4
2018-07-31,7301.6
2018-08-01,7375.3
2018-08-02,7375.3
2018-08-03,7334.4
2018-08-04,7336.0
2018-08-05,7344.0
2018-08-06,7522.8
2018-08-07,7375.3
2018-08-08,7457.3
2018-08-09,7391.7
2018-08-10,7522.8
2018-08-11,7453.0
2018-08-12,7440.0
2018-08-13,7375.3
2018-08-14,7375.3
2018-08-15,7416.3
2018-08-16,7399.9
2018-08-17,7375.3
2018-08-18,7388.0
2018-08-19,7390.0
2018-08-20,7293.4
2018-08-21,7293.4
2018-08-22,6801.7
2018-08-23,7047.5
2018-08-24,7006.6
2018-08-25,7088.0
2018-08-26,7047.0
2018-08-27,7285.2
2018-08-28,7252.4
2018-08-29,7277.0
2018-08-30,7293.4
2018-08-31,7301.6
2018-09-01,7281.0
2018-09-02,7281.0
2018-09-03,7286.0
2018-09-04,7260.6
2018-09-05,7211.4
2018-09-06,7252.4
2018-09-07,7252.4
2018-09-08,7252.0
2018-09-09,7245.0
2018-09-10,7367.1
