"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","134,600.0","135,000.0","136,800.0","133,800.0","2.63M","-0.30%"
"05/30/2024","135,000.0","133,800.0","135,000.0","131,900.0","7.26M","-0.52%"
"05/29/2024","135,700.0","137,100.0","138,200.0","134,800.0","5.84M","-0.95%"
"05/28/2024","137,000.0","134,000.0","137,000.0","133,100.0","4.63M","3.16%"
"05/27/2024","132,800.0","133,000.0","133,500.0","130,600.0","5.16M","0.68%"
"05/24/2024","131,900.0","138,000.0","138,000.0","130,600.0","13.38M","-4.07%"
"05/23/2024","137,500.0","137,500.0","137,800.0","135,000.0","3.62M","-0.36%"
"05/22/2024","138,000.0","137,900.0","139,700.0","136,100.0","4.51M","1.47%"
"05/21/2024","136,000.0","134,000.0","136,000.0","133,500.0","3.47M","2.26%"
"05/20/2024","133,000.0","135,200.0","136,100.0","133,000.0","2.01M","-1.12%"
"05/17/2024","134,500.0","135,400.0","136,000.0","133,700.0","2.31M","-0.66%"
"05/16/2024","135,400.0","135,600.0","137,300.0","134,200.0","3.12M","0.97%"
"05/15/2024","134,100.0","131,500.0","134,500.0","131,300.0","3.65M","2.76%"
"05/14/2024","130,500.0","130,000.0","131,700.0","129,600.0","2.30M","0.62%"
"05/13/2024","129,700.0","131,300.0","131,500.0","128,800.0","1.85M","-0.99%"
"05/10/2024","131,000.0","131,300.0","132,200.0","129,200.0","3.79M","0.54%"
"05/09/2024","130,300.0","130,600.0","132,800.0","130,000.0","2.20M","-0.53%"
"05/08/2024","131,000.0","130,100.0","131,000.0","129,300.0","3.02M","-0.23%"
"05/07/2024","131,300.0","128,000.0","131,600.0","127,200.0","3.12M","2.90%"
"05/06/2024","127,600.0","126,500.0","127,600.0","124,500.0","2.70M","1.35%"
"05/03/2024","125,900.0","128,100.0","128,400.0","125,600.0","3.19M","-1.10%"
"05/02/2024","127,300.0","123,800.0","129,000.0","123,500.0","3.47M","3.33%"
"04/26/2024","123,200.0","123,000.0","125,400.0","122,200.0","3.40M","0.00%"
"04/25/2024","123,200.0","122,500.0","128,000.0","121,900.0","5.71M","2.58%"
"04/24/2024","120,100.0","113,600.0","120,100.0","113,200.0","10.16M","6.95%"
"04/23/2024","112,300.0","110,900.0","113,300.0","109,900.0","4.04M","1.81%"
"04/22/2024","110,300.0","110,000.0","111,400.0","108,900.0","2.40M","1.19%"
"04/19/2024","109,000.0","110,500.0","111,200.0","109,000.0","5.36M","-2.50%"
"04/17/2024","111,800.0","113,100.0","113,100.0","111,600.0","1.94M","-1.06%"
"04/16/2024","113,000.0","112,000.0","113,200.0","111,500.0","3.64M","1.25%"
"04/15/2024","111,600.0","115,500.0","115,600.0","111,500.0","3.70M","-3.38%"
"04/12/2024","115,500.0","115,900.0","115,900.0","114,300.0","1.37M","0.52%"
"04/11/2024","114,900.0","113,500.0","115,400.0","113,300.0","1.55M","0.97%"
"04/10/2024","113,800.0","113,500.0","115,600.0","113,300.0","1.79M","0.71%"
"04/09/2024","113,000.0","112,600.0","113,200.0","112,500.0","1.43M","0.36%"
"04/08/2024","112,600.0","113,700.0","113,700.0","112,600.0","1.95M","-0.97%"
"04/05/2024","113,700.0","113,100.0","114,700.0","112,600.0","2.76M","-0.26%"
"04/04/2024","114,000.0","115,000.0","115,800.0","114,000.0","2.36M","-0.96%"
"04/03/2024","115,100.0","116,100.0","117,000.0","115,100.0","2.55M","-1.62%"
"04/02/2024","117,000.0","115,400.0","117,000.0","115,400.0","2.29M","0.17%"
"04/01/2024","116,800.0","116,000.0","117,600.0","115,200.0","1.97M","0.26%"
"03/29/2024","116,500.0","116,400.0","117,200.0","116,000.0","1.34M","-0.51%"
"03/28/2024","117,100.0","115,900.0","117,400.0","115,300.0","2.80M","1.65%"
"03/27/2024","115,200.0","114,700.0","115,300.0","114,100.0","1.32M","0.17%"
"03/26/2024","115,000.0","114,000.0","115,500.0","113,600.0","1.69M","0.88%"
"03/25/2024","114,000.0","114,100.0","115,100.0","113,800.0","2.79M","-0.78%"
"03/22/2024","114,900.0","116,300.0","116,300.0","114,500.0","2.41M","-1.12%"
"03/21/2024","116,200.0","115,200.0","116,200.0","114,600.0","3.76M","1.48%"
"03/20/2024","114,500.0","112,300.0","115,000.0","111,100.0","3.48M","2.23%"
"03/19/2024","112,000.0","113,000.0","113,000.0","111,100.0","3.32M","-0.88%"
"03/18/2024","113,000.0","115,800.0","115,800.0","111,100.0","5.88M","-2.59%"
"03/15/2024","116,000.0","116,800.0","116,800.0","114,500.0","3.84M","-0.85%"
"03/14/2024","117,000.0","118,500.0","118,500.0","115,700.0","3.46M","0.00%"
"03/13/2024","117,000.0","112,800.0","117,000.0","112,000.0","5.11M","4.56%"
"03/12/2024","111,900.0","110,000.0","113,500.0","110,000.0","2.91M","1.73%"
"03/11/2024","110,000.0","110,000.0","113,500.0","110,000.0","3.38M","0.00%"
"03/08/2024","110,000.0","111,300.0","112,600.0","109,500.0","3.12M","-1.17%"
"03/07/2024","111,300.0","109,100.0","113,900.0","108,200.0","4.04M","2.02%"
"03/06/2024","109,100.0","110,000.0","110,400.0","108,400.0","3.70M","-1.45%"
"03/05/2024","110,700.0","111,400.0","111,400.0","109,900.0","3.38M","-0.63%"
"03/04/2024","111,400.0","111,000.0","111,800.0","110,800.0","3.09M","0.54%"
"03/01/2024","110,800.0","109,200.0","111,400.0","109,100.0","4.02M","1.65%"
"02/29/2024","109,000.0","108,200.0","109,400.0","107,700.0","2.82M","0.46%"
"02/28/2024","108,500.0","108,000.0","108,500.0","106,300.0","3.46M","0.56%"
"02/27/2024","107,900.0","108,500.0","109,500.0","107,400.0","2.80M","-0.09%"
"02/26/2024","108,000.0","103,900.0","108,000.0","103,500.0","4.47M","3.95%"
"02/23/2024","103,900.0","105,500.0","106,700.0","103,300.0","4.10M","-0.67%"
"02/22/2024","104,600.0","105,900.0","106,000.0","104,600.0","1.72M","-1.23%"
"02/21/2024","105,900.0","104,000.0","106,900.0","103,500.0","3.14M","1.53%"
"02/20/2024","104,300.0","105,200.0","105,200.0","104,000.0","1.84M","-0.67%"
"02/19/2024","105,000.0","105,500.0","107,000.0","105,000.0","2.03M","-0.10%"
"02/16/2024","105,100.0","104,000.0","105,100.0","103,800.0","2.07M","1.06%"
"02/15/2024","104,000.0","105,200.0","105,500.0","103,800.0","2.25M","-0.86%"
"02/07/2024","104,900.0","104,700.0","105,000.0","103,900.0","2.13M","0.77%"
"02/06/2024","104,100.0","103,600.0","105,000.0","102,900.0","1.88M","0.58%"
"02/05/2024","103,500.0","102,000.0","104,100.0","101,900.0","2.69M","1.47%"
"02/02/2024","102,000.0","100,200.0","102,200.0","100,100.0","2.88M","2.10%"
"02/01/2024","99,900.0","95,900.0","99,900.0","95,700.0","7.79M","4.39%"
"01/31/2024","95,700.0","95,600.0","96,000.0","95,500.0","1.38M","0.10%"
"01/30/2024","95,600.0","95,900.0","95,900.0","95,400.0","949.00K","-0.31%"
"01/29/2024","95,900.0","95,900.0","96,100.0","95,300.0","1.06M","0.00%"
"01/26/2024","95,900.0","95,500.0","96,200.0","95,300.0","925.40K","0.84%"
"01/25/2024","95,100.0","95,100.0","95,700.0","94,800.0","845.10K","0.11%"
"01/24/2024","95,000.0","95,800.0","95,800.0","94,900.0","1.72M","-0.63%"
"01/23/2024","95,600.0","96,100.0","96,400.0","95,400.0","1.48M","-0.83%"
"01/22/2024","96,400.0","96,800.0","96,800.0","95,800.0","1.11M","0.10%"
"01/19/2024","96,300.0","96,000.0","96,900.0","95,700.0","1.49M","0.73%"
"01/18/2024","95,600.0","95,700.0","96,000.0","95,200.0","1.14M","-0.10%"
"01/17/2024","95,700.0","95,600.0","96,000.0","95,000.0","1.41M","0.00%"
"01/16/2024","95,700.0","94,700.0","95,700.0","94,700.0","810.00K","0.31%"
"01/15/2024","95,400.0","95,000.0","95,900.0","94,900.0","1.31M","0.74%"
"01/12/2024","94,700.0","94,800.0","95,600.0","94,100.0","2.60M","-0.32%"
"01/11/2024","95,000.0","94,700.0","95,400.0","94,700.0","1.37M","0.32%"
"01/10/2024","94,700.0","96,700.0","96,900.0","94,500.0","3.30M","-1.97%"
"01/09/2024","96,600.0","97,300.0","97,300.0","96,600.0","1.21M","-0.72%"
"01/08/2024","97,300.0","97,400.0","98,300.0","97,100.0","1.44M","-0.10%"
