Date,Price
2018-03-05,26556.5
2018-03-06,27333.7
2018-03-07,26858.7
2018-03-08,26858.7
2018-03-09,26599.7
2018-03-10,26841.0
2018-03-11,26898.0
2018-03-12,26513.3
2018-03-13,25951.9
2018-03-14,26254.2
2018-03-15,26167.8
2018-03-16,25951.9
2018-03-17,26167.0
2018-03-18,26098.0
2018-03-19,26124.7
2018-03-20,26470.1
2018-03-21,26340.6
2018-03-22,25951.9
2018-03-23,25304.2
2018-03-24,26038.0
2018-03-25,26020.0
2018-03-26,25563.3
2018-03-27,25692.8
2018-03-28,25433.8
2018-03-29,25692.8
2018-03-30,26211.0
2018-03-31,25718.0
2018-04-01,25749.0
2018-04-02,26556.5
2018-04-03,26426.9
2018-04-04,26642.8
2018-04-05,27204.2
2018-04-06,27074.6
2018-04-07,26781.0
2018-04-08,26825.0
2018-04-09,27376.9
2018-04-10,27808.7
2018-04-11,27204.2
2018-04-12,27463.3
2018-04-13,26772.4
2018-04-14,27325.0
2018-04-15,27314.0
2018-04-16,26383.7
2018-04-17,26772.4
2018-04-18,26772.4
2018-04-19,26211.0
2018-04-20,26470.1
2018-04-21,26521.0
2018-04-22,26549.0
2018-04-23,25045.1
2018-04-24,24354.2
2018-04-25,25787.0
2018-04-26,23749.7
2018-04-27,24613.3
2018-04-28,24709.0
2018-04-29,24642.0
2018-04-30,24700.0
2018-05-01,24482.0
2018-05-02,24613.3
2018-05-03,25045.1
2018-05-04,25390.6
2018-05-05,24846.0
2018-05-06,24875.0
2018-05-07,25736.0
2018-05-08,25476.9
2018-05-09,25217.9
2018-05-10,25174.7
2018-05-11,25692.8
2018-05-12,25459.0
2018-05-13,25404.0
2018-05-14,26599.7
2018-05-15,26513.3
2018-05-16,26124.7
2018-05-17,26167.8
2018-05-18,26254.2
2018-05-19,26331.0
2018-05-20,26278.0
2018-05-21,26340.6
2018-05-22,25779.2
2018-05-23,26167.8
2018-05-24,25692.8
2018-05-25,24911.0
2018-05-26,25778.0
2018-05-27,25665.0
2018-05-28,23178.9
2018-05-29,24146.9
2018-05-30,23153.5
2018-05-31,23433.7
2018-06-01,23662.9
2018-06-02,23515.0
2018-06-03,23582.0
2018-06-04,24070.4
2018-06-05,24350.6
2018-06-06,24707.2
2018-06-07,24350.6
2018-06-08,24427.0
2018-06-09,24381.0
2018-06-10,24443.0
2018-06-11,24197.8
2018-06-12,23586.5
2018-06-13,23841.2
2018-06-14,23739.3
2018-06-15,23688.4
2018-06-16,23810.0
2018-06-17,23733.0
2018-06-18,23128.0
2018-06-19,22669.5
2018-06-20,23128.0
2018-06-21,22618.6
2018-06-22,22924.2
2018-06-23,22893.0
2018-06-24,22846.0
2018-06-25,22975.2
2018-06-26,22669.5
2018-06-27,22567.6
2018-06-28,21650.7
2018-06-29,21141.2
2018-06-30,22200.0
2018-07-01,22045.0
2018-07-02,20479.0
2018-07-03,19867.7
2018-07-04,20377.1
2018-07-05,20122.4
2018-07-06,20784.6
2018-07-07,20326.0
2018-07-08,20295.0
2018-07-09,20453.5
2018-07-10,20580.9
2018-07-11,19969.5
2018-07-12,19765.8
2018-07-13,20682.7
2018-07-14,20290.0
2018-07-15,20257.0
2018-07-16,20835.6
2018-07-17,21345.0
2018-07-18,21854.4
2018-07-19,21650.7
2018-07-20,21192.2
2018-07-21,21375.0
2018-07-22,21483.0
2018-07-23,21395.9
2018-07-24,21497.8
2018-07-25,21599.7
2018-07-26,21676.1
2018-07-27,22058.2
2018-07-28,21645.0
2018-07-29,21695.0
2018-07-30,22058.2
